ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
['NC_054289']	Esox niger	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        gene [15618:16775](+) None	D-loop [15618:16775](+) None	source [0:16775](+) None	
['NC_054290']	Semotilus corporalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Plagopterinae', 'Semotilus']	        gene [15667:16602](+) None	D-loop [15667:16602](+) None	source [0:16602](+) None	
['NC_043928']	Dorcus hansi	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Coleoptera', 'Polyphaga', 'Scarabaeiformia', 'Lucanidae', 'Lucaninae', 'Dorcus']	        rRNA [13928:14681](-) ['12S ribosomal RNA']	misc_feature [14681:18130](-) None	source [0:18130](+) None	
['NC_053981']	Mellivora capensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Mustelidae', 'Mellivoriane', 'Mellivora']	        tRNA [15377:15443](-) ['tRNA-Pro']	D-loop [15451:16579](+) None	source [0:16579](+) None	
['NC_053964']	Proteles cristata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Hyaenidae', 'Proteles']	        tRNA [15373:15439](-) ['tRNA-Pro']	D-loop [15440:17130](+) None	source [0:17159](+) None	
['NC_053962']	Tapirus terrestris	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Perissodactyla', 'Tapiridae', 'Tapirus']	        tRNA [15384:15450](-) ['tRNA-Pro']	D-loop [15450:16772](+) None	source [0:16772](+) None	
['NC_053977']	Potos flavus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Procyonidae', 'Potos']	        tRNA [15369:15435](-) ['tRNA-Pro']	D-loop [15435:16581](+) None	source [0:16581](+) None	
['NC_053807']	Stochomys longicaudatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Stochomys']	        tRNA [15325:15392](-) ['tRNA-Pro']	D-loop [15394:16262](+) None	source [0:16266](+) None	
['NC_053965']	Cynictis penicillata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Cynictis']	        tRNA [15377:15444](-) ['tRNA-Pro']	D-loop [15445:16663](+) None	source [0:16663](+) None	
['NC_053800']	Lemniscomys barbarus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Lemniscomys']	        tRNA [15329:15396](-) ['tRNA-Pro']	D-loop [15398:16255](+) None	source [0:16274](+) None	
['NC_053843']	Porzana pusilla	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Gruiformes', 'Rallidae', 'Porzana']	        tRNA [15442:15513](-) ['tRNA-Glu']	D-loop [15513:16966](+) None	source [0:16966](+) None	
['NC_053979']	Ictonyx striatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Mustelidae', 'Galictinae', 'Ictonyx']	        tRNA [15373:15439](-) ['tRNA-Pro']	D-loop [15439:16541](+) None	source [0:16541](+) None	
['NC_053709']	Dictyosoma burgeri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Zoarcales', 'Stichaeidae', 'Xiphisterinae', 'Dictyosoma']	        tRNA [15600:15670](-) ['tRNA-Pro']	D-loop [15929:16513](+) None	source [0:16523](+) None	
['NC_053556']	Odontaspis ferox	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Galeomorphii', 'Galeoidea', 'Lamniformes', 'Odontaspididae', 'Odontaspis']	        tRNA [15554:15623](-) ['tRNA-Pro']	D-loop [15623:16682](+) None	source [0:16682](+) None	
['NC_053269']	Rhinolophus affinis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Rhinolophidae', 'Rhinolophinae', 'Rhinolophus']	        tRNA [15370:15439](-) ['tRNA-Pro']	D-loop [15439:16886](+) None	source [0:16886](+) None	
['NC_053801']	Arvicanthis somalicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Arvicanthis']	        tRNA [15333:15400](-) ['tRNA-Pro']	D-loop [15400:16272](+) None	source [0:16272](+) None	
['NC_053958']	Galidia elegans	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Eupleridae', 'Galidiinae', 'Galidia']	        tRNA [15376:15442](-) ['tRNA-Pro']	D-loop [15443:16636](+) None	source [0:16636](+) None	
['NC_053974']	Speothos venaticus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Canidae', 'Speothos']	        tRNA [15389:15455](-) ['tRNA-Pro']	D-loop [15462:16964](+) None	source [0:16975](+) None	
['NC_053806']	Hybomys univittatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Hybomys']	        tRNA [15318:15385](-) ['tRNA-Pro']	D-loop [15389:16250](+) None	source [0:16250](+) None	
['NC_053812']	Dasymys incomtus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Dasymys']	        tRNA [15335:15404](-) ['tRNA-Pro']	D-loop [15406:16269](+) None	source [0:16273](+) None	
['NC_053985']	Sebastes oculatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Scorpaenoidei', 'Sebastidae', 'Sebastinae', 'Sebastes']	        tRNA [15597:15667](-) ['tRNA-Pro']	D-loop [15667:16767](+) None	source [0:16767](+) None	
['NC_053976']	Viverra zibetha	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Viverridae', 'Viverrinae', 'Viverra']	        tRNA [15388:15454](-) ['tRNA-Pro']	D-loop [15455:16771](+) None	source [0:16796](+) None	
['NC_053969']	Arctictis binturong	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Viverridae', 'Paradoxurinae', 'Arctictis']	        tRNA [15386:15452](-) ['tRNA-Pro']	D-loop [15453:16506](+) None	source [0:16506](+) None	
['NC_053971']	Chrotogale owstoni	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Viverridae', 'Hemigalinae', 'Chrotogale']	        tRNA [15398:15463](-) ['tRNA-Pro']	D-loop [15464:16829](+) None	source [0:16852](+) None	
['NC_053961']	Cryptoprocta ferox	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Eupleridae', 'Euplerinae', 'Cryptoprocta']	        tRNA [15376:15442](-) ['tRNA-Pro']	D-loop [15443:16861](+) None	source [0:16862](+) None	
['NC_053968']	Genetta genetta	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Viverridae', 'Viverrinae', 'Genetta']	        tRNA [15374:15440](-) ['tRNA-Pro']	D-loop [15441:16846](+) None	source [0:16871](+) None	
['NC_053755']	Calotes mystaceus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Iguania', 'Acrodonta', 'Agamidae', 'Draconinae', 'Calotes']	        tRNA [15088:15155](+) ['tRNA-Pro']	D-loop [15155:16506](+) None	source [0:16506](+) None	
['NC_053817']	Praomys delectorum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Praomys']	        tRNA [15329:15396](-) ['tRNA-Pro']	D-loop [15396:>16235](+) None	source [0:16235](+) None	
['NC_053799']	Lemniscomys rosalia	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Lemniscomys']	        tRNA [15325:15393](-) ['tRNA-Pro']	D-loop [15398:16253](+) None	source [0:16254](+) None	
['NC_053803']	Mylomys dybowskii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Mylomys']	        tRNA [15325:15392](-) ['tRNA-Pro']	D-loop [15394:>16253](+) None	source [0:16253](+) None	
['NC_053815']	Golunda ellioti	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Golunda']	        tRNA [15331:15398](-) ['tRNA-Pro']	D-loop [15400:16263](+) None	source [0:16263](+) None	
['NC_053805']	Desmomys harringtoni	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Desmomys']	        tRNA [15333:15400](-) ['tRNA-Pro']	D-loop [15400:16262](+) None	source [0:16264](+) None	
['NC_053759']	Astyanax altiparanae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Astyanax']	        tRNA [15594:15663](-) ['tRNA-Pro']	D-loop [15663:16730](+) None	source [0:16730](+) None	
['NC_053959']	Fossa fossana	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Eupleridae', 'Euplerinae', 'Fossa']	        tRNA [15378:15444](-) ['tRNA-Pro']	D-loop [15445:16747](+) None	source [0:16766](+) None	
['NC_054258']	Deltistes luxatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Catostomoidei', 'Catostomidae', 'Deltistes']	        tRNA [15601:15672](-) ['tRNA-Pro']	D-loop [15672:16623](+) None	source [0:16623](+) None	
['NC_054232']	Amyda cartilaginea	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Testudinata', 'Testudines', 'Cryptodira', 'Trionychia', 'Trionychidae', 'Amyda']	        tRNA [15417:15487](-) ['tRNA-Pro']	D-loop [15489:16763](+) None	source [0:16763](+) None	
['NC_053811']	Otomys typus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Otomys']	        tRNA [15328:15395](-) ['tRNA-Pro']	D-loop [15397:16256](+) None	source [0:16259](+) None	
['NC_054269']	Kallima paralekta	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Papilionoidea', 'Nymphalidae', 'Nymphalinae', 'Kallima']	        rRNA [14095:14867](-) ['12S ribosomal RNA']	misc_feature [14867:15200](+) None	source [0:15200](+) None	
['NC_054268']	Gracilinanus agilis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Metatheria', 'Didelphimorphia', 'Didelphidae', 'Gracilinanus']	        tRNA [16127:16194](-) ['tRNA-Pro']	D-loop [16194:16336](+) None	source [0:16336](+) None	
['NC_053270']	Parabotia kiangsiensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Botiidae', 'Parabotia']	        tRNA [15594:15664](-) ['tRNA-Pro']	D-loop [15674:16420](+) None	source [0:16592](+) None	
['NC_053973']	Galictis vittata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Mustelidae', 'Galictinae', 'Galictis']	        tRNA [15375:15441](-) ['tRNA-Pro']	D-loop [15441:16495](+) None	source [0:16495](+) None	
['NC_053967']	Ichneumia albicauda	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Ichneumia']	        tRNA [15378:15445](-) ['tRNA-Pro']	D-loop [15446:16651](+) None	source [0:16651](+) None	
['NC_053943']	Parambassis ranga	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Ambassidae', 'Parambassis']	        tRNA [15599:15668](-) ['tRNA-Pro']	D-loop [15668:17345](+) None	source [0:17345](+) None	
['NC_053980']	Atilax paludinosus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Atilax']	        tRNA [15383:15449](-) ['tRNA-Pro']	D-loop [15450:16654](+) None	source [0:16654](+) None	
['NC_053972']	Galerella sanguinea	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Galerella']	        tRNA [15386:15452](-) ['tRNA-Pro']	D-loop [15453:16646](+) None	source [0:16646](+) None	
['NC_053978']	Herpestes naso	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Herpestes']	        tRNA [15383:15449](-) ['tRNA-Pro']	D-loop [15450:16650](+) None	source [0:16650](+) None	
['NC_053963']	Mungos mungo	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Mungos']	        tRNA [15384:15450](-) ['tRNA-Pro']	D-loop [15451:16663](+) None	source [0:16663](+) None	
['NC_053957']	Galidictis fasciata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Eupleridae', 'Galidiinae', 'Galidictis']	        tRNA [15380:15446](-) ['tRNA-Pro']	D-loop [15447:16632](+) None	source [0:16632](+) None	
['NC_053956']	Salanoia concolor	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Eupleridae', 'Galidiinae', 'Salanoia']	        tRNA [15375:15441](-) ['tRNA-Pro']	D-loop [15442:16798](+) None	source [0:16798](+) None	
['NC_053960']	Eupleres goudotii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Eupleridae', 'Euplerinae', 'Eupleres']	        tRNA [15379:15445](-) ['tRNA-Pro']	D-loop [15446:16965](+) None	source [0:16984](+) None	
['NC_053852']	Acroneuria carolinensis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Perloidea', 'Perlidae', 'Acroneuria']	        rRNA [14075:14889](-) ['12S ribosomal RNA']	misc_feature [14889:15718](+) None	source [0:15718](+) None	
['NC_053758']	Psalidodon fasciatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Psalidodon']	        tRNA [15604:15674](-) ['tRNA-Pro']	D-loop [15674:16626](+) None	source [0:16626](+) None	
['NC_053878']	Hyphessobrycon megalopterus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Hyphessobrycon']	        tRNA [15611:15681](-) ['tRNA-Pro']	D-loop [15681:16749](+) None	source [0:16773](+) None	
['NC_053653']	Pentatoma semiannulata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Heteroptera', 'Panheteroptera', 'Pentatomomorpha', 'Pentatomoidea', 'Pentatomidae', 'Pentatominae', 'Pentatoma']	        rRNA [13904:14733](-) ['12S ribosomal RNA']	misc_feature [14733:15515](+) None	source [0:15515](+) None	
['NC_053975']	Poecilogale albinucha	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Mustelidae', 'Galictinae', 'Poecilogale']	        tRNA [15385:15451](-) ['tRNA-Pro']	D-loop [15451:16518](+) None	source [0:16518](+) None	
['NC_053536']	Ostorhinchus novemfasciatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Gobiaria', 'Kurtiformes', 'Apogonoidei', 'Apogonidae', 'Apogoninae', 'Ostorhinchus']	        tRNA [15591:15662](-) ['tRNA-Pro']	D-loop [15662:16779](+) None	source [0:16779](+) None	
['NC_053970']	Bdeogale nigripes	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Bdeogale']	        tRNA [15380:15447](-) ['tRNA-Pro']	D-loop [15448:16638](+) None	source [0:16638](+) None	
['NC_053814']	Thallomys paedulcus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Thallomys']	        tRNA [15327:15394](-) ['tRNA-Pro']	D-loop [15394:16280](+) None	source [0:16280](+) None	
['NC_054158']	Onychostoma lepturum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Acrossocheilinae', 'Onychostoma']	        tRNA [15597:15667](-) ['tRNA-Pro']	D-loop [15667:16601](+) None	source [0:16601](+) None	
['NC_053711']	Pachytriton brevipes	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Caudata', 'Salamandroidea', 'Salamandridae', 'Pleurodelinae', 'Pachytriton']	        tRNA [15495:15567](-) ['tRNA-Pro']	D-loop [15568:16301](+) None	source [0:16301](+) None	
['NC_053712']	Odorrana exiliversabilis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Anura', 'Neobatrachia', 'Ranoidea', 'Ranidae', 'Odorrana']	        misc_feature [14770:15907](+) None	D-loop [15916:17122](+) None	source [0:17122](+) None	
