ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
NC_020047	Hyporthodus octofasciatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Hyporthodus']	        tRNA [15635:15705](-) ['tRNA-Pro']	D-loop [15705:16545](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_020093	Moschus chrysogaster	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Moschidae', 'Moschus']	        tRNA [15364:15430](-) ['tRNA-Pro']	D-loop [15430:16353](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_018030	Issoria lathonia	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Papilionoidea', 'Nymphalidae', 'Heliconiinae', 'Argynnini', 'Issoria']	        rRNA [14040:14811](-) ['s-rRNA']	D-loop [14811:15147](+) None	tRNA [0:68](+) ['tRNA-Met']
NC_022138	Variola louti	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Variola']	        tRNA [15724:15795](-) ['tRNA-Pro']	D-loop [15795:16770](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022139	Variola albimarginata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Variola']	        tRNA [15718:15789](-) ['tRNA-Pro']	D-loop [15789:16768](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022140	Triso dermopterus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Triso']	        tRNA [15634:15704](-) ['tRNA-Pro']	D-loop [15704:16605](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022142	Cephalopholis argus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Cephalopholis']	        tRNA [15655:15726](-) ['tRNA-Pro']	D-loop [15726:15881](+) None	tRNA [15881:15954](-) ['tRNA-Asp']
NC_022142	Cephalopholis argus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Cephalopholis']	        tRNA [15881:15954](-) ['tRNA-Asp']	D-loop [15954:16767](+) None	tRNA [0:71](+) ['tRNA-Phe']
NC_022143	Cephalopholis sonnerati	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Cephalopholis']	        tRNA [15639:15709](-) ['tRNA-Pro']	D-loop [15709:16587](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022146	Oocatochus rufodorsatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Colubroidea', 'Colubridae', 'Colubrinae', 'Oocatochus']	        tRNA [3494:3560](+) ['tRNA-Ile']	misc_feature [3593:4601](+) None	tRNA [4602:4675](+) ['tRNA-Leu']
NC_022146	Oocatochus rufodorsatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Colubroidea', 'Colubridae', 'Colubrinae', 'Oocatochus']	        tRNA [16085:16147](-) ['tRNA-Pro']	misc_feature [16147:17155](+) None	tRNA [0:62](+) ['tRNA-Phe']
NC_022147	Enophrys diceraus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Enophrys']	        tRNA [15590:15660](-) ['tRNA-Pro']	D-loop [15660:16976](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022148	Orectolobus japonicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Galeomorphii', 'Galeoidea', 'Orectolobiformes', 'Orectolobidae', 'Orectolobus']	        tRNA [15565:15634](-) ['tRNA-Pro']	D-loop [15634:16706](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022149	Spinibarbus caldwelli	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Spinibarbinae', 'Spinibarbus']	        tRNA [15591:15661](-) ['tRNA-Pro']	D-loop [15661:16545](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022150	Emberiza aureola	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Passeriformes', 'Passeroidea', 'Fringillidae', 'Emberizinae', 'Emberizini', 'Emberiza']	        tRNA [15510:15582](-) ['tRNA-Glu']	misc_feature [15582:16800](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022177	Pristipomoides multidens	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Lutjaniformes', 'Lutjanidae', 'Pristipomoides']	        tRNA [15611:15681](+) ['tRNA-Pro']	D-loop [15681:16507](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022181	Mesocottus haitej	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Mesocottus']	        tRNA [15603:15673](-) ['tRNA-Pro']	D-loop [15673:16527](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022182	Cirrhinus molitorella	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Labeoninae', 'Labeonini', 'Cirrhinus']	        tRNA [15590:15660](-) ['tRNA-Pro']	D-loop [15658:16602](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022183	Acrossocheilus hemispinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Acrossocheilinae', 'Acrossocheilus']	        tRNA [15580:15650](-) ['tRNA-Pro']	D-loop [15650:16590](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022184	Acrossocheilus barbodon	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Acrossocheilinae', 'Acrossocheilus']	        tRNA [15592:15662](-) ['tRNA-Pro']	D-loop [15662:16596](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022185	Agrotis ipsilon	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Noctuoidea', 'Noctuidae', 'Noctuinae', 'Noctuini', 'Agrotis']	        rRNA [14261:15045](-) ['s-rRNA']	D-loop [15045:15377](+) None	tRNA [0:67](+) ['tRNA-Met']
NC_022186	Pseudogobius javanicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Gobiaria', 'Gobiiformes', 'Gobioidei', 'Gobiidae', 'Gobionellinae', 'Pseudogobius']	        tRNA [15572:15648](-) ['tRNA-Pro']	D-loop [15648:16477](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022187	Saurogobio dumerili	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Gobioninae', 'Saurogobio']	        tRNA [15603:15673](-) ['tRNA-Pro']	D-loop [15673:16601](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022188	Biwia springeri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Gobioninae', 'Biwia']	        tRNA [15606:15676](-) ['tRNA-Pro']	D-loop [15676:16606](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022189	Gnathopogon strigatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Sarcocheilichthyinae', 'Gnathopogon']	        tRNA [15605:15675](-) ['tRNA-Pro']	D-loop [15675:16602](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022190	Squalidus wolterstorffi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Hemibarbus-Squalidus clade', 'Squalidus']	        tRNA [15604:15674](-) ['tRNA-Pro']	D-loop [15674:16602](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022191	Microphysogobio longidorsalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Gobioninae', 'Microphysogobio']	        tRNA [15607:15677](-) ['tRNA-Pro']	D-loop [15677:16603](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022192	Hemibarbus umbrifer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Hemibarbus-Squalidus clade', 'Hemibarbus']	        tRNA [15609:15679](-) ['tRNA-Pro']	D-loop [15679:16611](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022193	Galeocerdo cuvier	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Chondrichthyes', 'Elasmobranchii', 'Galeomorphii', 'Galeoidea', 'Carcharhiniformes', 'Carcharhinidae', 'Galeocerdo']	        tRNA [15564:15633](-) ['tRNA-Pro']	D-loop [15633:16703](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022418	Anas poecilorhyncha	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Anseriformes', 'Anatidae', 'Anatinae', 'Anas']	        tRNA [15484:15557](+) ['tRNA-Glu']	D-loop [15555:16608](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022419	Micronycteris megalotis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Phyllostominae', 'Micronycteris']	        tRNA [15373:15441](-) ['tRNA-Pro']	D-loop [15443:16589](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022420	Anoura caudifer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Glossophaginae', 'Anoura']	        tRNA [15372:15439](-) ['tRNA-Pro']	D-loop [15439:16546](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022421	Brachyphylla cavernarum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Brachyphyllinae', 'Brachyphylla']	        tRNA [15371:15438](-) ['tRNA-Pro']	D-loop [15438:16785](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022422	Carollia perspicillata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Carolliinae', 'Carollia']	        tRNA [15369:15436](-) ['tRNA-Pro']	D-loop [15436:16711](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022423	Desmodus rotundus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Desmodontinae', 'Desmodus']	        tRNA [15347:15421](-) ['tRNA-Pro']	D-loop [15421:16659](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022424	Lophostoma silvicolum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Phyllostominae', 'Lophostoma']	        tRNA [15376:15443](-) ['tRNA-Pro']	D-loop [15443:16666](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022425	Pteronotus rubiginosus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Mormoopidae', 'Pteronotus']	        tRNA [15373:15439](-) ['tRNA-Pro']	D-loop [15439:16616](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022426	Rhinophylla pumilio	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Carolliinae', 'Rhinophylla']	        tRNA [15361:15429](-) ['tRNA-Pro']	D-loop [15429:16671](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022429	Vampyrum spectrum	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Chiroptera', 'Microchiroptera', 'Phyllostomidae', 'Phyllostominae', 'Vampyrum']	        tRNA [15367:15434](-) ['tRNA-Pro']	D-loop [15434:16637](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022445	Pleuronichthys cornutus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Pleuronectiformes', 'Pleuronectoidei', 'Pleuronectidae', 'Pleuronichthys']	        tRNA [15620:15691](-) ['tRNA-Pro']	D-loop [15691:17469](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022449	Eusthenes cupreus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Heteroptera', 'Panheteroptera', 'Pentatomomorpha', 'Pentatomoidea', 'Tessaratomidae', 'Eusthenes']	        rRNA [13916:14709](-) ['s-rRNA']	misc_feature [14709:16229](-) None	tRNA [0:66](+) ['tRNA-Ile']
NC_022452	Anas crecca	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Anseriformes', 'Anatidae', 'Anatinae', 'Anas']	        tRNA [15484:15555](-) ['tRNA-Glu']	D-loop [15555:16601](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_022453	Acipenser ruthenus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Chondrostei', 'Acipenseriformes', 'Acipenseridae', 'Acipenser']	        tRNA [15651:15721](-) ['tRNA-Pro']	D-loop [15721:16790](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022458	Metzia formosae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Xenocyprididae', 'Xenocypridinae', 'Metzia']	        tRNA [15606:15676](-) ['tRNA-Pro']	D-loop [15676:16614](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022465	Spinibarbus sinensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Spinibarbinae', 'Spinibarbus']	        tRNA [15591:15663](-) ['tRNA-Pro']	D-loop [15662:16585](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022475	Sarcocheilichthys sinensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Sarcocheilichthyinae', 'Sarcocheilichthys']	        tRNA [15603:15673](-) ['tRNA-Pro']	D-loop [15673:16684](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022477	Kurtus gulliveri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Gobiaria', 'Kurtiformes', 'Kurtoidei', 'Kurtidae', 'Kurtus']	        tRNA [15845:15915](-) ['tRNA-Pro']	D-loop [15915:16661](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022478	Istiophorus albicans	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Istiophoriformes', 'Istiophorus']	        tRNA [15604:15675](-) ['tRNA-Pro']	D-loop [15675:16514](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022479	Trichogaster lalius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Anabantaria', 'Anabantiformes', 'Anabantoidei', 'Osphronemidae', 'Luciocephalinae', 'Trichogaster']	        tRNA [15590:15660](-) ['tRNA-Pro']	D-loop [15660:16476](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022480	Parachanna insignis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Anabantaria', 'Anabantiformes', 'Channoidei', 'Channidae', 'Parachanna']	        tRNA [15614:15684](-) ['tRNA-Pro']	D-loop [15684:16607](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_022481	Platycephalus indicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Platycephaloidei', 'Platycephalidae', 'Platycephalus']	        tRNA [15597:15667](-) ['tRNA-Pro']	D-loop [15667:16542](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_022482	Dysalotus alcocki	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Pelagiaria', 'Scombriformes', 'Chiasmodontidae', 'Dysalotus']	        tRNA [15567:15637](-) ['tRNA-Pro']	D-loop [15637:16460](+) None	tRNA [0:68](+) ['tRNA-Phe']
