ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
NC_052908	Eristalinus quinquestriatus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Diptera', 'Brachycera', 'Muscomorpha', 'Syrphoidea', 'Syrphidae', 'Eristalinae', 'Eristalini', 'Eristalinus', 'Lathyrophthalmus']	        rRNA [14118:14914](-) ['12S ribosomal RNA']	D-loop [14914:16198](+) None	tRNA [0:66](+) ['tRNA-Ile']
NC_053523	Gallus gallus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Galliformes', 'Phasianidae', 'Phasianinae', 'Gallus']	        tRNA [15485:15553](-) ['tRNA-Glu']	D-loop [15553:16784](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_054288	Coregonus hoyi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Coregoninae', 'Coregonus']	        tRNA [15590:15660](-) ['tRNA-Pro']	gene [15660:16820](+) None	D-loop [15660:16820](+) None
NC_054288	Coregonus hoyi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Coregoninae', 'Coregonus']	        tRNA [15590:15660](-) ['tRNA-Pro']	gene [15660:16820](+) None	D-loop [15660:16820](+) None
NC_054288	Coregonus hoyi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Coregoninae', 'Coregonus']	        tRNA [15590:15660](-) ['tRNA-Pro']	gene [15660:16820](+) None	D-loop [15660:16820](+) None
NC_054288	Coregonus hoyi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Coregoninae', 'Coregonus']	        tRNA [15590:15660](-) ['tRNA-Pro']	gene [15660:16820](+) None	D-loop [15660:16820](+) None
NC_054288	Coregonus hoyi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Coregoninae', 'Coregonus']	        gene [15660:16820](+) None	D-loop [15660:16820](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_054291	Esox masquinongy	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15553:15623](-) ['tRNA-Pro']	gene [15623:16729](+) None	D-loop [15623:16729](+) None
NC_054291	Esox masquinongy	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15553:15623](-) ['tRNA-Pro']	gene [15623:16729](+) None	D-loop [15623:16729](+) None
NC_054291	Esox masquinongy	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15553:15623](-) ['tRNA-Pro']	gene [15623:16729](+) None	D-loop [15623:16729](+) None
NC_054291	Esox masquinongy	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15553:15623](-) ['tRNA-Pro']	gene [15623:16729](+) None	D-loop [15623:16729](+) None
NC_054291	Esox masquinongy	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        gene [15623:16729](+) None	D-loop [15623:16729](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_054140	Gila elegans	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Laviniinae', 'Gila']	        tRNA [15607:15676](-) ['tRNA-Pro']	D-loop [15676:16593](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_054289	Esox niger	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15548:15618](-) ['tRNA-Pro']	gene [15618:16775](+) None	D-loop [15618:16775](+) None
NC_054289	Esox niger	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15548:15618](-) ['tRNA-Pro']	gene [15618:16775](+) None	D-loop [15618:16775](+) None
NC_054289	Esox niger	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15548:15618](-) ['tRNA-Pro']	gene [15618:16775](+) None	D-loop [15618:16775](+) None
NC_054289	Esox niger	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15548:15618](-) ['tRNA-Pro']	gene [15618:16775](+) None	D-loop [15618:16775](+) None
NC_054289	Esox niger	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        gene [15618:16775](+) None	D-loop [15618:16775](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_054086	Ptychocheilus lucius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Laviniinae', 'Ptychocheilus']	        tRNA [15605:15674](-) ['tRNA-Pro']	D-loop [15674:16588](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_054290	Semotilus corporalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Plagopterinae', 'Semotilus']	        tRNA [15597:15667](-) ['tRNA-Pro']	gene [15667:16602](+) None	D-loop [15667:16602](+) None
NC_054290	Semotilus corporalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Plagopterinae', 'Semotilus']	        tRNA [15597:15667](-) ['tRNA-Pro']	gene [15667:16602](+) None	D-loop [15667:16602](+) None
NC_054290	Semotilus corporalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Plagopterinae', 'Semotilus']	        tRNA [15597:15667](-) ['tRNA-Pro']	gene [15667:16602](+) None	D-loop [15667:16602](+) None
NC_054290	Semotilus corporalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Plagopterinae', 'Semotilus']	        tRNA [15597:15667](-) ['tRNA-Pro']	gene [15667:16602](+) None	D-loop [15667:16602](+) None
NC_054290	Semotilus corporalis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Leuciscidae', 'Plagopterinae', 'Semotilus']	        gene [15667:16602](+) None	D-loop [15667:16602](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_043928	Dorcus hansi	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Coleoptera', 'Polyphaga', 'Scarabaeiformia', 'Lucanidae', 'Lucaninae', 'Dorcus']	        rRNA [13928:14681](-) ['12S ribosomal RNA']	misc_feature [14681:18130](-) None	tRNA [0:63](+) ['tRNA-Ile']
NC_053623	Spodoptera littoralis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Noctuoidea', 'Noctuidae', 'Amphipyrinae', 'Spodoptera']	        rRNA [14265:15066](-) ['12S ribosomal RNA']	D-loop [15182:15356](+) None	tRNA [0:68](+) ['tRNA-Met']
NC_053981	Mellivora capensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Mustelidae', 'Mellivoriane', 'Mellivora']	        tRNA [15377:15443](-) ['tRNA-Pro']	D-loop [15451:16579](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_053964	Proteles cristata	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Hyaenidae', 'Proteles']	        tRNA [15373:15439](-) ['tRNA-Pro']	D-loop [15440:17130](+) None	tRNA [0:70](+) ['tRNA-Phe']
NC_053753	Phocoenoides dalli	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Phocoenidae', 'Phocoenoides']	        tRNA [15446:15514](-) ['tRNA-Pro']	D-loop [15514:16319](+) None	tRNA [0:74](+) ['tRNA-Phe']
NC_053962	Tapirus terrestris	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Perissodactyla', 'Tapiridae', 'Tapirus']	        tRNA [15384:15450](-) ['tRNA-Pro']	D-loop [15450:16772](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_053750	Phocoena spinipinnis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Phocoenidae', 'Phocoena']	        tRNA [15446:15514](-) ['tRNA-Pro']	D-loop [15514:16319](+) None	tRNA [0:74](+) ['tRNA-Phe']
NC_053977	Potos flavus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Caniformia', 'Procyonidae', 'Potos']	        tRNA [15369:15435](-) ['tRNA-Pro']	D-loop [15435:16581](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_053794	Argas persicus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Acari', 'Parasitiformes', 'Ixodida', 'Ixodoidea', 'Argasidae', 'Argasinae', 'Argas']	        rRNA [13252:13945](-) ['12S ribosomal RNA']	D-loop [13945:14289](-) None	gene [14289:14354](+) None
NC_053807	Stochomys longicaudatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Stochomys']	        tRNA [15325:15392](-) ['tRNA-Pro']	D-loop [15394:16262](+) None	tRNA [0:67](+) ['tRNA-Phe']
